GFX_ALB_albanian_navy	GFX_Alb_Navy	0.67
GFX_ALB_disband_religious_and_ethnic_militias	GFX_ALB_Religious_and_Ethnic_Militias	0.8
GFX_ALB_join_the_un	GFX_Join_the_UN	0.67
GFX_ALB_minesweepers_navy	GFX_Alb_Navy	0.67
GFX_ALB_profesionalize_the_army	GFX_Alb_Army	0.67
GFX_ALB_side_with_non_aligned_movement	GFX_Non_aligned_Movement	0.6
GFX_Battle_of_Singapore	GFX_MLA_The_Battle_of_Singapore	0.67
GFX_BRA_Elections_Gomes	GFX_BRA_1950_Elections_Gomes	0.75
GFX_chemical_industry	GFX_SOV_focus_on_the_chemical_industry	0.67
GFX_Civil_rights_act_of_1953	GFX_Civil_Rights_Act_1991	0.6
GFX_ETR_Victory	GFX_ETR_KMT_victory	0.67
GFX_Found_the_Ionninan_Film_Academy	GFX_Found_the_Ioannina_Film_Academy	0.6
GFX_FRA_Korean_War	GFX_focus_korean_war	0.67
GFX_FRA_Recognize_PRC	GFX_Recognize_the_PRC	0.67
GFX_FRA_Suez_Crisis	GFX_suez_crisis	0.67
GFX_FUL_Central_Highland_Railway	GFX_FUL_Central_Highland_Railways	0.6
GFX_FUL_College_Sabbatier	GFX_FUL_College_sabbatier	1
GFX_FUL_Preserve_FireWater_Kings	GFX_FUL_FireWater_Kings	0.75
GFX_FUL_Recruit_FireWater_Kings	GFX_FUL_FireWater_Kings	0.75
GFX_FUL_Remain_Autonomous_CD	GFX_FUL_Remain_Autonomous	0.75
GFX_Generic_Factory	GFX_generic_SRT_factory	0.67
GFX_goal_bag_of_money	GFX_bag_of_money	1
GFX_goal_generic_espionage	GFX_generic_espionage	1
GFX_goal_generic_revolutionary_government	GFX_Generic_Revolutionary_Government	1
GFX_goal_generic_road_construction	GFX_Generic_Construction	0.67
GFX_goal_healthcare	GFX_healthcare	1
GFX_goal_Helicoptor_Production	GFX_Helicoptor_Production	1
GFX_KOR_50s_allout_plan_for_reinvirgoration_of_1953	GFX_KOR_allout_plan_for_reinvirgoration_of_1953	0.83
GFX_KOR_50s_attend_the_geneva_conference	GFX_KOR_attend_the_geneva_conference	0.8
GFX_KOR_50s_basic_industry_development_plan	GFX_KOR_basic_industry_development_plan	0.83
GFX_KOR_50s_bombard_viet_minh_positions	GFX_KOR_bombard_viet_minh_positions	0.83
GFX_KOR_50s_build_docks_and_roads	GFX_KOR_build_docks_and_roads	0.8
GFX_KOR_50s_establish_the_korea_coal_corporation	GFX_KOR_establish_the_korea_coal_corporation	0.83
GFX_KOR_50s_establish_the_korean_minting_and_security_planning_corporations	GFX_KOR_establish_the_korean_minting_and_security_planning_corporations	0.88
GFX_KOR_50s_facilitate_trade_with_the_state_of_vietnam	GFX_KOR_facilitate_trade_with_the_state_of_vietnam	0.83
GFX_KOR_50s_formation_of_national_agricultural_cooperative_federation	GFX_KOR_formation_of_national_agricultural_cooperative_federation	0.86
GFX_KOR_50s_fortify_busan	GFX_KOR_fortify_busan	0.75
GFX_KOR_50s_korea_development_bank	GFX_KOR_korea_development_bank	0.8
GFX_KOR_50s_meyers_agreement	GFX_KOR_meyers_agreement	0.75
GFX_KOR_50s_order_each_bureaus_to_make_economic_plans	GFX_KOR_order_each_bureaus_to_make_economic_plans	0.88
GFX_KOR_50s_proposal_accepted	GFX_KOR_proposal_accepted	0.75
GFX_KOR_50s_proposal_for_intervention_in_the_first_indochina_war	GFX_KOR_proposal_for_intervention_in_the_first_indochina_war	0.86
GFX_KOR_50s_proposal_refused	GFX_KOR_proposal_refused	0.75
GFX_KOR_50s_provide_supplies_for_civilians	GFX_KOR_provide_supplies_for_civilians	0.8
GFX_KOR_50s_take_advices_from_american_advisors	GFX_KOR_take_advices_from_american_advisors	0.86
GFX_KOR_50s_the_kacic	GFX_KOR_the_kacic	0.67
GFX_KOR_declaration_of_martial_law_in_busan	GFX_KOR_declaration_of_martial_law	0.8
GFX_KOR_excerpt_constitutional_amendment	GFX_KOR_push_for_constitutional_amendment	0.6
GFX_KOR_remove_jokcheong_from_powers	GFX_KOR_remove_jokcheong_from_power	0.67
GFX_KOR_syngman_rhee_administration_1956	GFX_KOR_syngman_rhee_administration_1948	0.67
GFX_KPA_50s_begin_the_chollima_movement	GFX_KPA_50s_chollima_cooperative_movement	0.67
GFX_KPA_50s_dismiss_han_sorya	GFX_Dismiss_Han_Sorya	0.6
GFX_KPA_50s_embrace_destalinization	GFX_Embrace_Destalinization_KPA	0.75
GFX_KPA_50s_empower_han_sorya	GFX_Empower_Han_Sorya	0.6
GFX_KPA_50s_expand_the_personality_cult	GFX_Expand_the_Personality_Cult_KPA	0.8
GFX_KPA_50s_infiltrate_the_democratic_party	GFX_KPA_50s_infilitrate_the_democratic_party	0.67
GFX_KPA_50s_korean_peoples_army_airforce	GFX_KPA_50s_the_korean_peoples_army_airforce	1
GFX_KPA_50s_purge_kim_loyalists	GFX_Purge_Kim_Loyalists	0.6
GFX_KPA_50s_rehabilitate_purged_writers	GFX_Rehabilitate_Purged_KPA_Writers	0.8
GFX_KPA_50s_resigning_of_kim_il_sung	GFX_KPA_50s_premier_kim_il_sung	0.71
GFX_KPA_50s_the_august_faction_incident	GFX_August_Faction_Incident	0.6
GFX_KPA_50s_the_second_arduous_march	GFX_The_Second_Arduous_March	0.6
GFX_meyers_agreement	GFX_KOR_meyers_agreement	0.67
GFX_MLA_All_Together	GFX_All_together	0.67
GFX_MLA_Formation_Syndycalist_System	GFX_MLA_Formation_Syndicalist_System	0.6
GFX_p_podgorny_mikoyan	GFX_SOV_p_podgorny_mikoyan	0.75
GFX_PER_declare_martial_law	GFX_declare_martial_law	0.75
GFX_PER_focus_on_nuclear_energy	GFX_Nuclear_Energy	0.67
GFX_PRC_50s_Begin_The_Battle_Of_Chamdo	GFX_PRC_50s_Launch_The_Chamdo_Battle	0.67
GFX_PRC_50s_Consolidate_The_PLAN	GFX_PRC_50s_Establish_PLAN	0.6
GFX_PRC_50s_Establish_The_TWC	GFX_PRC_50s_Establish_PLAN	0.6
GFX_PRC_50s_Incorporate_CPTibet_into_CPC	GFX_PRC_50s_Incorporate_CPT_into_CPC	0.71
GFX_PRC_50s_Launch_A_catch	GFX_PRC_50s_Launch_A_Catch	1
GFX_PRC_50s_Prepare_For_Hainan	GFX_PRC_50s_Prepare_to_Counter	0.6
GFX_PRC_50s_Promote_the_Pilot_Field_System	GFX_PRC_50s_Promote_The_Pilot_Field_System	1
GFX_PRC_50s_Revive_PLAN	GFX_PRC_50s_Establish_PLAN	0.6
GFX_PRC_50s_Send_Aid_To_The_Tibetans	GFX_PRC_50s_Send_Aid_to_Tibet	0.67
GFX_PRC_50s_Trust_in_Kashgar	GFX_PRC_50s_Trust_in_Gaxag	0.6
GFX_PRC_warsaw_pact	GFX_Warsaw_Pact	0.67
GFX_Premier_Kim_il_Sung	GFX_KPA_50s_premier_kim_il_sung	0.67
GFX_purge	GFX_The_Purge	1
GFX_SAU_enforce_fishing_sites	GFX_enforce_fishing_sites	0.75
GFX_SIA_A_Welfare_State	GFX_Welfare_State	0.67
GFX_SIA_Re_Declare_State_of_Emergency	GFX_declare_state_of_emergency	0.6
GFX_SIA_The_Chinese_Civil_War	GFX_usa_chinese_civil_war	0.6
GFX_SIA_The_Korean_War	GFX_focus_korean_war	0.67
GFX_SOV_analyze_soviet_armed_forces_condition	GFX_SOV_the_soviet_armed_forces	0.67
GFX_SOV_eighth_five_year_plan	GFX_SOV_seventh_five_year_plan	0.67
GFX_SOV_ninth_five_year_plan	GFX_SOV_seventh_five_year_plan	0.67
GFX_SOV_xxivth_cpsu_congress	GFX_SOV_xxii_cpsu_congress	0.6
GFX_SOV_xxvth_cpsu_congress	GFX_SOV_xxii_cpsu_congress	0.6
GFX_Soviet_Occupation_of_Turkey	GFX_Soviet_Turkey	0.67
GFX_usa_fp80_deny_the_refugees	GFX_usa_fp80_accomadate_the_refugees	0.6
GFX_usa80_equip_infantry_formations_with_the_m16a2_en_masse	GFX_USA80MIL_Equip_Infantry_Formations_with_the_M16A2_En_Masse	0.75
GFX_usa80_upgrade_los_angeles_class_ssns	GFX_USA80MIL_Upgrade_Los_Angeles_Class_SSNs	0.71
GFX_VIE_1CP_Directive	GFX_VIE_VIE_1CP_Directive	1
GFX_VIE_NH_Diem_PM	GFX_VIE_NH_Diem_Successor	0.6
GFX_VIE_NH_Nhiep_PM	GFX_VIE_NH_Nhiep_Successor	0.6
GFX_VIE_NH_Stabilize_NamPhan	GFX_VIE_NH_Pacifying_NamPhan	0.6
GFX_VIE_NH_Vinh_PM	GFX_VIE_PM_Vinh	0.75
GFX_VIE_NH_Vinh_Purge_Phuong	GFX_VIE_Vinh_Purge_Phuong_Forces	0.67
GFX_VIN_Ho_Chi_Minh_Promises	GFX_Ho_Chi_Minh	0.6
